ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['BBAS3'];['Banco do Brasil S.A.'];Brazil;Banks - Regional;Financial Services;1.79;6.39;7.554;;0;;;;;;;;;;26358860000.0;0.1403;0.3114;0;;;;;;;;141761442000.0;0.1277;0.0887;;;;;;;;;;0.1859;0.0007;0.2069;0.011;0.0666;0.3101;0.0116;0.052;0.3061;1.06;-0.0115;0.0142;;;;;;;-116343743000.0;;;;;;;;;;;;
['BRKM5'];['Braskem S.A.'];Brazil;Chemicals;Basic Materials;;;0.858;24.649;0;0.0;-7346000000.0;-1.3863;1.0949;1.0;-12296000000.0;1.8658;4.1544;1.0;-11320000000.0;4.3587;5.9354;1;-1166000000.0;-1.014;0.4525;1.0;5997000000.0;-0.1315;0.7904;77411000000.0;-0.086;0.1494;0.0775;-0.146;0.6765;-0.0949;-1.2666;1.0617;-0.1588;1.5662;3.8098;-0.1462;5.9231;8.269;-0.1114;4.113;5.7444;-0.4064;4.8242;6.3649;3.6468;0.1506;0.0841;2.4922;0.2398;0.1354;0.0452;0.186;0.2702;58736000000.0;-7.9956;0.51;1.5374;1.5164;-0.0575;0.0261;11.814;-0.2209;0.1405;7.5167;-0.1959;0.1645
['BRFS3'];['BRF S.A.'];Brazil;Packaged Foods;Consumer Defensive;0.7;3.08;0.834;5.605;0;0.0;4919295000.0;-0.0065;0.3369;0.0;1694513000.0;0.6248;1.6634;0.0;-2028559000.0;-3.2107;3.7776;1;759731000.0;-2.4198;2.6493;1.0;8833701000.0;0.0022;0.1153;53615440000.0;0.1114;0.0932;0.1648;-0.091;0.1383;0.0918;-0.082;0.3796;0.0316;0.5723;1.6929;-0.0378;-2.9632;3.3951;-0.0354;-3.1337;3.6521;-0.0606;-2.9679;3.3822;1.7119;-0.0513;0.0328;0.6007;-0.1236;0.0911;0.122;0.5702;0.805;14552731000.0;2.9583;0.0924;0.3907;2.85;0.0898;0.0718;10.5856;-0.0792;0.4818;6.7799;0.0002;0.6041
['BPAC11'];['Banco BTG Pactual S.A.'];Brazil;Capital Markets;Financial Services;1.01;2.75;3.58;;0;;;;;;;;;;11789387000.0;0.23;0.0321;0;;;;;;;;37783193000.0;0.3303;0.279;;;;;;;;;;0.312;-0.0382;0.182;0.0182;0.0038;0.1086;0.0195;0.0105;0.1216;1.0699;0.0058;0.0134;;;;;;;-2802449000.0;;;;;;;;;;;;
['CRFB3'];['Atacadão S.A.'];Brazil;Department Stores;Consumer Cyclical;0.1;1.11;0.258;5.193;0;0.0;6495000000.0;0.0376;0.2229;0.0;4661000000.0;0.04;0.3682;0.0;1753000000.0;-1.703;1.1393;1;5453000000.0;0.063;0.1844;0.0;21175000000.0;0.1324;0.1337;115636000000.0;0.1479;0.1242;0.1831;-0.0145;0.0102;0.0562;-0.0864;0.2289;0.0403;-0.0776;0.3747;0.0152;-1.7063;1.0515;0.0175;-1.7134;0.9912;0.0299;-1.7617;1.0524;1.7071;0.0537;0.0123;0.6201;0.1506;0.061;0.7568;0.0402;0.1064;26291000000.0;4.0479;0.3444;0.3338;2.7527;-0.0822;0.0394;1.8592;-0.1132;0.1135;1.402;-0.0958;0.126
['BHIA3'];['Grupo Casas Bahia S.A.'];Brazil;Specialty Retail;Consumer Cyclical;;;0.492;12.778;0;0.0;1622000000.0;-0.3565;2.565;1.0;550000000.0;-2.4461;0.9615;1.0;-1045000000.0;2.075;3.2675;1;836000000.0;-0.5128;2.2101;1.0;8377000000.0;-0.0326;0.0692;27206000000.0;-0.0411;0.0293;0.3079;0.0089;0.0696;0.0596;-0.4069;2.6007;0.0202;-2.5122;1.0306;-0.0384;2.2588;3.5055;-0.0308;2.3534;3.682;-0.0495;2.4358;3.8255;1.6066;-0.0039;0.0277;0.4478;0.0124;0.0617;0.553;0.0191;0.2088;10665000000.0;6.5752;-1.7487;0.8572;3.5877;-0.0142;0.0314;2.7067;-0.0408;0.2963;1.808;-0.0192;0.2761
['CCRO3'];['CCR S.A.'];Brazil;Infrastructure Operations;Industrials;0.3;2.29;2.52;8.003;0;0.0;6500153000.0;0.1141;0.5274;0.0;4783726000.0;0.4976;1.1428;0.0;1248695000.0;1.3621;2.5344;0;5182223000.0;0.377;0.888;0.0;7335706000.0;0.3468;0.7565;21783791000.0;0.2347;0.244;0.3368;0.0198;0.368;0.2984;-0.1427;0.2315;0.2196;0.0917;0.6328;0.0573;0.6161;1.5426;0.0211;0.9756;2.0495;0.05;0.713;1.6769;2.3673;-0.0583;0.0787;1.3663;-0.0884;0.1212;0.0492;-0.0434;0.722;29944806000.0;4.6068;0.2015;0.4504;1.7326;0.0401;0.0534;6.2259;0.5728;0.7116;;;
['CMIG4'];['Companhia Energética de Minas Gerais - CEMIG'];Brazil;Utilities - Diversified;Utilities;1.21;11.06;1.048;4.43;0;0.0;9152000000.0;0.1618;0.2331;0.0;7878000000.0;0.1822;0.2872;0.0;5764000000.0;0.2697;0.1327;0;6429000000.0;0.2433;0.4612;0.0;8384000000.0;0.1643;0.1071;36850000000.0;0.1424;0.1365;0.2275;0.0255;0.0912;0.2484;0.03;0.2428;0.2138;0.0479;0.2896;0.1564;0.1215;0.1426;0.1048;0.2642;0.1467;0.1288;0.212;0.1318;1.2294;-0.0404;0.0251;0.2198;-0.1682;0.0745;0.2675;0.5343;1.0145;8727000000.0;0.9536;-0.2284;0.1488;5.5945;0.1608;0.0786;4.5129;0.0309;0.5308;;;
['COGN3'];['Cogna Educação S.A.'];Brazil;Education & Training Services;Consumer Defensive;0.26;10.48;1.786;7.359;0;0.0;2553116000.0;0.2899;0.1214;0.0;1626743000.0;0.9457;0.5722;0.0;879871000.0;-0.924;1.3175;1;1364268000.0;2.3156;2.3716;0.0;4277493000.0;0.1419;0.0235;6390593000.0;0.1028;0.0467;0.6693;0.0365;0.0256;0.3995;0.1753;0.147;0.2546;0.7896;0.5977;0.1377;-0.9298;1.2015;0.0364;-0.9048;1.3825;0.0508;-0.9021;1.3351;1.3967;-0.03;0.0209;0.2308;-0.1394;0.0971;0.1651;-0.1392;0.3006;6778247000.0;2.6549;-0.2703;0.0471;6.0506;0.138;0.0975;7.0089;0.391;0.5162;6.3584;0.3787;0.528
['CPLE6'];['Companhia Paranaense de Energia - COPEL'];Brazil;Utilities - Regulated Electric;Utilities;0.4;3.58;2.075;9.088;0;0.0;4449113000.0;0.0908;0.5497;0.0;2983635000.0;0.2915;0.9318;0.0;2809631000.0;0.1666;0.7396;0;3603922000.0;0.3529;0.851;0.0;4891244000.0;0.0491;0.0749;22651036000.0;-0.8135;1.2215;0.2159;-0.6177;0.8004;0.1964;-0.1752;0.8065;0.1317;0.1114;1.0322;0.124;-0.0087;0.8622;0.049;0.0806;0.6531;0.0706;0.1153;0.6711;1.4415;0.0296;0.0133;0.4332;0.1125;0.0455;0.1888;0.0086;0.376;13412726000.0;3.0147;0.5697;0.9951;3.3274;-0.0735;0.0255;4.0051;0.0697;0.3683;3.9632;0.0722;0.3681
