ticker;country;industry;sector;EV/revenue;EV/ebitda;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;dividend_yield;dividend_rate;Grade
['LREN3'];Brazil;Department Stores;Consumer Cyclical;1.0;2.0;1.0;1.0;0.19868354430379748;2.0;2.0;0.14512083205873355;1.0;1.0;0.11828892514047491;2.0;2.0;0.19275703922965887;1.0;1.0;0.18991653755809884;2.0;2.0;0.19084423701182968;2.0;-2.0;-0.10653594771241826;1.0;-1.0;0.1813418992896892;1.0;0.0;0.18193994285649756;-1.0;1.0;0.1940845213332657;2.0;2.0;0.1794138273238505;1.0;-1.0;27.665855358393475
['CMIG4'];Brazil;Utilities - Diversified;Utilities;1.0;2.0;1.0;1.0;0.15908860759493673;2.0;2.0;0.13361884368308352;1.0;1.0;0.138831490544378;2.0;2.0;0.1981338352001072;1.0;1.0;0.19761707231745715;2.0;2.0;0.19795059956369446;2.0;-2.0;0.14257703081232492;1.0;-1.0;0.18997873591820114;;;;-1.0;1.0;0.1973973923190097;2.0;2.0;0.19663380747601722;1.0;-1.0;26.75182741542921
['UGPA3'];Brazil;Oil & Gas Refining & Marketing;Energy;1.0;2.0;1.0;1.0;0.07797468354430381;2.0;2.0;0.09709391251147138;1.0;1.0;0.10782430064648663;2.0;2.0;0.1908835656903409;1.0;1.0;0.18897296216702483;2.0;2.0;0.19126628422598538;2.0;-2.0;0.1181139122315593;1.0;-1.0;0.1910170565081663;1.0;0.0;0.18886266360997866;-1.0;1.0;0.19549490132413375;2.0;2.0;0.19437115448230236;0.0;-1.0;26.741875396941754
['SMTO3'];Brazil;Specialty Chemicals;Basic Materials;1.0;2.0;1.0;-1.0;0.10572151898734179;2.0;2.0;0.15836647292750078;1.0;1.0;0.14325418403721832;2.0;2.0;0.19325403351057027;1.0;1.0;0.19458043880253886;2.0;2.0;0.1952966450098145;2.0;-2.0;0.15714285714285714;1.0;-1.0;0.18847215310138896;1.0;0.0;0.18528950072841027;-1.0;1.0;0.1963928770737152;2.0;2.0;0.19654647700959313;1.0;-1.0;25.91431715833095
['SBSP3'];Brazil;Utilities - Regulated Water;Utilities;1.0;2.0;1.0;1.0;0.1067341772151899;2.0;2.0;0.14995411440807588;1.0;1.0;0.12829436287837592;2.0;2.0;0.19173137946366034;1.0;1.0;0.19179969013943726;2.0;2.0;0.1921503020394196;2.0;-2.0;0.2;1.0;-1.0;0.19927837850065602;1.0;-1.0;0.1989790963195519;-1.0;1.0;0.2;2.0;2.0;0.19681905391994708;-1.0;-1.0;24.95574055488431
['PRIO3'];Brazil;Oil & Gas E&P;Energy;0.0;2.0;1.0;-1.0;0.1260253164556962;2.0;2.0;0.15907005200367086;1.0;1.0;0.1301794453507341;2.0;2.0;0.19113937157022176;1.0;1.0;0.1957958918486681;2.0;2.0;0.19202482854331926;2.0;-2.0;-0.08627450980392154;1.0;1.0;0.12244039270687236;1.0;1.0;0.12488452721092277;-1.0;-1.0;0.17707878849373448;2.0;2.0;0.0812570294409527;-1.0;-1.0;23.41362113382087
['EGIE3'];Brazil;Utilities - Renewable;Utilities;0.0;2.0;1.0;1.0;0.1628354430379747;2.0;2.0;0.19244417252982565;1.0;1.0;0.18955954323001634;2.0;2.0;0.1956050113589992;1.0;1.0;0.1948982957669049;2.0;2.0;0.1970608784095284;2.0;-2.0;0.14024276377217554;1.0;-1.0;0.1914016196896349;;;;-1.0;1.0;0.19417076759170007;0.0;2.0;0.19794376447237844;0.0;-1.0;22.856162259859136
['VBBR3'];Brazil;Specialty Retail;Consumer Cyclical;1.0;2.0;1.0;-1.0;0.10855696202531646;2.0;2.0;-0.043530131538696865;1.0;1.0;-0.020506313817896166;2.0;2.0;0.1708600559118566;1.0;1.0;0.18014493477934929;2.0;2.0;0.18393368915842456;2.0;-2.0;0.07282913165266108;1.0;-1.0;0.1948513776410442;1.0;-1.0;0.19389490564546186;-1.0;-1.0;0.18840748820455583;2.0;2.0;0.187683757856434;1.0;-1.0;22.41712585751851
['CYRE3'];Brazil;Residential Construction;Consumer Cyclical;1.0;2.0;1.0;-1.0;0.18435443037974686;2.0;2.0;0.18687672070969716;1.0;1.0;0.19016373633013112;2.0;2.0;0.19568053499972593;1.0;1.0;0.19488630116447597;2.0;2.0;0.19557040536494252;2.0;-2.0;0.153874883286648;1.0;-1.0;0.19097633805365788;1.0;0.0;0.19132006007972988;-1.0;-1.0;0.19611384506113338;0.0;2.0;0.19490572279192855;1.0;-1.0;22.074722978221818
['ABEV3'];Brazil;Beverages - Brewers;Consumer Defensive;1.0;2.0;1.0;1.0;0.1917974683544304;2.0;2.0;0.2;1.0;1.0;0.2;2.0;-2.0;0.2;1.0;1.0;0.1977570093457944;2.0;2.0;0.19772816927515294;2.0;-2.0;-0.07301587301587303;1.0;-1.0;0.1932203773243451;1.0;0.0;0.1903759500389615;-1.0;-1.0;0.18341027852468167;2.0;2.0;0.19040688058220312;1.0;-1.0;21.871680260429695
['TIMS3'];Brazil;Telecom Services;Communication Services;1.0;2.0;1.0;1.0;0.18653164556962026;2.0;-2.0;0.1880697460997247;1.0;-1.0;0.16038910035647394;2.0;2.0;0.19105897543654493;1.0;1.0;0.1904702883702334;2.0;2.0;0.19168833144014108;2.0;-2.0;0.038468720821662;1.0;-1.0;0.16551599330407635;1.0;0.0;0.16506566985510848;-1.0;1.0;0.1898330881233829;2.0;2.0;0.1871782997022825;1.0;-1.0;21.85426985907925
['RECV3'];Brazil;Oil & Gas E&P;Energy;1.0;2.0;1.0;1.0;0.058075949367088625;2.0;-2.0;0.17093912511471399;1.0;-1.0;0.10838015829859224;2.0;2.0;0.1821739845420161;1.0;1.0;0.16198110850117448;2.0;2.0;0.16693583266398293;2.0;-2.0;-0.2;1.0;1.0;-0.20000000000000007;1.0;1.0;-0.2;-1.0;-1.0;0.17045304652224647;2.0;2.0;0.17099305325835265;1.0;-1.0;21.589932258268167
['CPFE3'];Brazil;Utilities - Regulated Electric;Utilities;1.0;2.0;1.0;1.0;0.1329113924050633;2.0;2.0;0.17519118996635058;1.0;1.0;0.1816083620325056;2.0;2.0;0.19986600644387192;1.0;-1.0;0.2;2.0;2.0;0.2;2.0;-2.0;0.1958916900093371;1.0;-1.0;0.196403203185088;1.0;-1.0;0.19628454302137802;-1.0;-1.0;0.19928973669524633;0.0;2.0;0.19760502811776381;1.0;-1.0;21.075051151876607
['MULT3'];Brazil;Real Estate Services;Real Estate;-1.0;2.0;1.0;1.0;0.18855696202531647;2.0;2.0;0.18550015295197309;1.0;1.0;0.18228505830463418;2.0;2.0;0.19985869770444675;1.0;1.0;0.19646758958468688;2.0;2.0;0.19731752874246092;2.0;-2.0;0.04575163398692811;1.0;-1.0;0.2;1.0;0.0;0.2;-1.0;-1.0;0.17604383339252194;0.0;2.0;0.192217002977175;0.0;-1.0;20.963998459670144
['ELET6'];Brazil;Utilities - Renewable;Utilities;0.0;2.0;1.0;-1.0;0.2;2.0;2.0;0.09201590700520035;1.0;1.0;0.07597124040843456;2.0;2.0;0.18687594023887397;1.0;1.0;0.18703383477435154;2.0;2.0;0.18672072166271395;2.0;-2.0;0.13286647992530348;1.0;-1.0;0.19543048454960865;1.0;0.0;0.1950197066031237;-1.0;-1.0;0.19450053269747858;0.0;2.0;0.18989348329474035;1.0;-1.0;20.836328331159827
