ticker;country;industry;sector;EV/revenue;EV/ebitda;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;dividend_yield;dividend_rate;Grade
CTRA;United States;Oil & Gas E&P;Energy;0.0;2.0;1.0;1.0;-0.025346354758119444;2.0;2.0;0.12740989103101424;1.0;1.0;0.14184479971259206;2.0;2.0;0.18097532063003646;1.0;1.0;0.1719603481890326;2.0;2.0;0.1756478169662396;;;;;;;;;;;;;2.0;2.0;0.19838648224122632;1.0;1.0;26.97087830401202
SYK;United States;Medical Devices;Healthcare;-1.0;-2.0;1.0;1.0;0.19323188734953442;2.0;2.0;0.18752724224643755;1.0;1.0;0.19536554697323513;2.0;2.0;0.19832276126461282;1.0;1.0;0.19890161188455943;2.0;2.0;0.19948687765050332;2.0;-2.0;0.18551898734177216;1.0;1.0;0.10603243293382307;1.0;1.0;0.10179612755807481;1.0;1.0;0.19440715883668905;0.0;2.0;0.19947494303279395;1.0;1.0;26.960065577072033
DELL;United States;Computer Hardware;Technology;1.0;0.0;1.0;1.0;0.17560754031342268;2.0;2.0;0.10595138306789606;1.0;1.0;0.16582539967666607;2.0;2.0;0.1874320592203993;1.0;1.0;0.1838471043743307;2.0;2.0;0.1861597822751443;2.0;-2.0;0.17043037974683545;1.0;-1.0;0.1998119881627462;1.0;-1.0;0.19985117303718847;1.0;1.0;0.18685925493629027;0.0;2.0;0.1980305447466035;1.0;1.0;26.959806609557525
TMUS;United States;Telecom Services;Communication Services;0.0;0.0;1.0;1.0;0.16284351578469228;2.0;2.0;0.13022632020117353;1.0;1.0;0.14663193820729298;2.0;2.0;0.1714087544295497;1.0;1.0;0.17584424856523054;2.0;2.0;0.17657747392885711;2.0;-2.0;0.18555274261603374;1.0;-1.0;0.19955458675747367;1.0;0.0;0.19950878190478016;1.0;1.0;0.19456278572123337;0.0;2.0;0.19939661056390365;1.0;1.0;26.94210775868022
CHTR;United States;Telecom Services;Communication Services;1.0;2.0;1.0;1.0;0.1943674767204179;2.0;2.0;0.19399832355406538;1.0;1.0;0.1936680438297108;2.0;2.0;0.19526842125174979;1.0;1.0;0.19491665980174097;2.0;2.0;0.19280421363999942;2.0;-2.0;0.18406751054852322;1.0;-1.0;0.1986107816048077;;;;1.0;1.0;0.18517653924715496;0.0;2.0;0.2;;;26.93287797019817
LW;United States;Packaged Foods;Consumer Defensive;1.0;0.0;1.0;1.0;0.12046332046332048;2.0;2.0;0.13575859178541494;1.0;1.0;0.17482486078677925;2.0;2.0;0.1611612040808606;1.0;1.0;0.1738298047615125;2.0;2.0;0.1844252275093947;2.0;-2.0;0.1632405063291139;1.0;-1.0;0.19954210020281735;1.0;-1.0;0.19954870674270803;1.0;1.0;0.1813636805758195;0.0;2.0;0.1995447539778719;1.0;1.0;26.893702757215614
VMC;United States;Building Materials;Basic Materials;-1.0;-2.0;1.0;-1.0;0.13999545764251647;2.0;2.0;0.13693210393964794;1.0;1.0;0.1751032872283097;2.0;2.0;0.1909908319356344;1.0;1.0;0.19299228382348904;2.0;2.0;0.19393509505339995;2.0;-2.0;0.19341772151898734;1.0;1.0;-0.0005531543712752052;1.0;1.0;-0.021829885434429958;1.0;1.0;0.19653730181888923;2.0;2.0;0.19880108714978792;1.0;1.0;26.596322130304955
TSCO;United States;Specialty Retail;Consumer Cyclical;1.0;2.0;1.0;1.0;0.1941403588462412;2.0;2.0;0.1903436714165968;1.0;1.0;0.1968025866714568;2.0;2.0;0.19853462299960908;1.0;1.0;0.19769997528626743;2.0;2.0;0.19831575134694618;;;;;;;;;;;;;0.0;2.0;0.1998331747838278;1.0;1.0;26.375670141350945
JBHT;United States;Integrated Freight & Logistics;Industrials;1.0;0.0;1.0;1.0;0.18823529411764708;2.0;2.0;0.19959765297569154;1.0;1.0;0.19013831507095386;2.0;2.0;0.19670353228999837;1.0;1.0;0.19450146909410443;2.0;2.0;0.19554287841515625;;;;;;;;;;;;;2.0;2.0;0.19907803667368876;1.0;1.0;26.363797178637242
EXPD;United States;Integrated Freight & Logistics;Industrials;1.0;0.0;1.0;1.0;0.17974108562343857;2.0;2.0;0.17468566638725902;1.0;1.0;0.19228489312017244;2.0;2.0;0.19738956076522443;1.0;1.0;0.19376115550429746;2.0;2.0;0.19440998475724788;;;;;;;;;;;;;2.0;2.0;0.199075086915446;1.0;1.0;26.331347433073088
PKG;United States;Packaging & Containers;Consumer Cyclical;1.0;0.0;1.0;1.0;0.14626391096979335;2.0;2.0;0.15031014249790445;1.0;1.0;0.17536375067361237;2.0;2.0;0.19210058388085302;1.0;1.0;0.19085701732707253;2.0;2.0;0.1922146259992052;;;;;;;;;;;;;2.0;2.0;0.1994618329961596;1.0;1.0;26.2465718643446
