ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['EGIE3'];['Engie Brasil Energia S.A.'];Brazil;Utilities - Renewable;Utilities;1.18;2.94;4.873;8.287;0;0.0;8559206000.0;0.1993;0.0653;0.0;7487182000.0;0.2408;0.0765;0.0;4279349000.0;0.4129;0.2058;0;5570827000.0;0.001;0.0459;0.0;6106582000.0;0.0121;0.048;11218635000.0;-0.0347;0.0587;0.5443;0.0524;0.0838;0.7629;0.2438;0.0505;0.6674;0.2878;0.0797;0.3815;0.472;0.2464;0.0854;0.3056;0.2827;0.1647;0.2381;0.1786;1.9291;-0.0374;0.0728;0.9291;-0.0664;0.1381;0.1086;-0.0733;0.3194;20176178000.0;2.3572;-0.0828;0.0993;2.0763;0.043;0.0811;2.7465;0.1153;0.4679;;;
['EQTL3'];['Equatorial S.A.'];Brazil;Utilities - Regulated Electric;Utilities;0.79;2.2;2.027;8.543;0;0.0;11000395000.0;0.2138;0.1003;0.0;8243205000.0;0.1681;0.1244;0.0;2811675000.0;0.0791;0.5041;0;8788324000.0;0.2173;0.2068;0.0;10859323000.0;0.2108;0.1515;43169036000.0;0.2366;0.1907;0.2516;-0.0145;0.0809;0.2548;-0.0084;0.0649;0.191;-0.0479;0.0629;0.0651;-0.1413;0.3826;0.0242;-0.0735;0.4777;0.0465;-0.048;0.4797;1.9248;0.0426;0.0394;0.923;0.1002;0.092;0.1143;0.0998;0.5863;52624569000.0;4.7839;0.1302;0.2693;2.0852;-0.0486;0.0458;4.4711;0.2737;0.9934;4.4474;0.2803;1.0038
['EZTC3'];['EZTEC Empreendimentos e Participações S.A.'];Brazil;Real Estate - Development;Real Estate;1.13;8.0;2.273;12.671;0;0.0;536717000.0;0.0724;0.3473;0.0;507511000.0;0.0645;0.3728;0.0;404605000.0;0.0607;0.4448;0;254981000.0;0.3902;1.1033;0.0;532812000.0;0.1048;0.3151;1560541000.0;0.1924;0.1944;0.3414;-0.085;0.1361;0.3439;-0.1184;0.152;0.3252;-0.1287;0.1699;0.2593;-0.1396;0.2261;0.0626;-0.0252;0.3983;0.0762;0.0299;0.3991;1.2185;0.0654;0.0247;0.2141;6.0259;7.9076;0.0756;-0.2108;0.3808;1089897000.0;2.0307;-10.2763;15.1366;5.6905;-0.4853;0.3288;30.4347;-0.2475;0.6577;14.3998;-0.2197;0.7401
['FLRY3'];['Fleury S.A.'];Brazil;Diagnostics & Research;Healthcare;1.17;8.98;1.327;5.892;0;0.0;2098075000.0;0.2495;0.0578;0.0;1318092000.0;0.2419;0.0495;0.0;616172000.0;0.2367;0.2543;0;1232412000.0;0.2055;0.092;0.0;2143125000.0;0.2478;0.149;7684659000.0;0.2633;0.1327;0.2789;-0.0131;0.0433;0.273;-0.0049;0.0598;0.1715;-0.0067;0.1053;0.0802;-0.021;0.1894;0.0472;-0.0327;0.2482;0.0803;-0.0563;0.3196;1.7029;-0.0377;0.1008;0.5352;-0.0238;0.3225;0.0504;-0.3212;0.1554;5369774000.0;2.5594;-0.0142;0.0824;3.182;0.0636;0.2376;21.1639;0.7085;0.4371;20.4141;0.7157;0.4541
['IGTI11'];['Iguatemi S.A.'];Brazil;Real Estate Services;Real Estate;0.68;3.34;21.267;35.586;0;0.0;1068466000.0;0.1665;0.5452;0.0;874568000.0;0.2482;0.727;0.0;399771000.0;12.869;18.6709;0;715313000.0;0.2912;0.1447;0.0;829678000.0;0.194;0.0512;1236345000.0;0.1305;0.0477;0.6711;0.0564;0.0254;0.8642;0.0398;0.4849;0.7074;0.1126;0.6407;0.3233;11.2785;16.4847;0.047;13.7834;20.0365;0.0789;14.4845;21.0643;1.6781;-0.0313;0.084;0.4942;-0.1404;0.2405;0.1046;0.4565;1.2141;3387159000.0;3.1701;0.0694;0.4684;3.3953;0.1866;0.2279;8.6116;0.5265;1.1441;8.4965;0.5289;1.148
['LREN3'];['Lojas Renner S.A.'];Brazil;Department Stores;Consumer Cyclical;0.75;5.43;1.064;8.287;0;0.0;2882771000.0;0.187;0.3093;0.0;1638517000.0;0.2906;0.5164;0.0;1196668000.0;0.3406;0.5306;0;2359960000.0;0.3547;0.5241;0.0;8741949000.0;0.1288;0.1173;14436366000.0;0.1139;0.1008;0.6056;0.0123;0.013;0.1997;0.0531;0.2052;0.1135;0.1313;0.3746;0.0829;0.1729;0.3633;0.0588;0.3595;0.5319;0.0713;0.2942;0.5056;1.2131;-0.0468;0.0134;0.0563;-0.3554;0.1398;0.9855;0.387;0.6414;1650801000.0;0.5726;0.4118;0.7995;21.5384;0.5529;0.3454;13.2187;0.5163;0.9126;11.1617;0.483;0.8783
['MULT3'];['Multiplan Empreendimentos Imobiliários S.A.'];Brazil;Real Estate Services;Real Estate;0.9;3.53;7.026;9.703;0;0.0;2004691000.0;0.3308;0.1933;0.0;1866183000.0;0.4234;0.2481;0.0;1340814000.0;0.4461;0.1781;0;1709611000.0;0.4133;0.1958;0.0;2121411000.0;0.2821;0.1084;2544789000.0;0.2594;0.1087;0.8336;0.0189;0.033;0.7878;0.0526;0.0732;0.7333;0.1236;0.1098;0.5269;0.1465;0.0718;0.1072;0.3755;0.2042;0.1894;0.4823;0.1651;1.767;0.0898;0.1361;0.767;0.3279;0.4954;0.1066;-0.0772;0.1564;5381329000.0;2.6844;0.0282;0.3157;2.3038;-0.1114;0.1823;3.8023;0.0248;0.0878;3.5426;0.0151;0.0787
['RECV3'];['Petroreconcavo S.A.'];Brazil;Oil & Gas E&P;Energy;3.3;24.32;1.449;2.853;0;0.0;1232494000.0;0.5664;1.0039;0.0;537678000.0;0.8419;1.7049;0.0;437498000.0;1.584;2.7833;0;948220000.0;1.2589;1.8814;0.0;1191749000.0;0.9392;1.3934;3264554000.0;0.6552;0.8563;0.3651;0.0518;0.2907;0.3775;-0.1046;0.1208;0.1647;-0.0983;0.4156;0.134;0.154;0.7977;0.0588;0.9437;1.9293;0.0778;0.8779;1.7632;1.3227;0.039;0.0826;0.3187;0.3505;0.6056;0.0117;1.5061;3.452;1519010000.0;1.2325;0.7631;1.1177;4.1497;-0.0398;0.4455;75.067;15.9727;17.7702;74.5998;15.9866;17.7885
['PRIO3'];['Prio S.A.'];Brazil;Oil & Gas E&P;Energy;0.07;0.18;3.268;5.352;0;0.0;9929033000.0;0.5933;0.3325;0.0;7434737000.0;0.6898;0.4925;0.0;10301606000.0;1.0237;0.4332;0;6794234000.0;0.5236;0.3831;0.0;7274777000.0;0.4811;0.3781;14360653000.0;0.5082;0.2746;0.5066;-0.0268;0.1565;0.6914;0.0589;0.1596;0.5177;0.1309;0.3254;0.7173;0.4109;0.4297;0.1848;0.2137;0.2378;0.2961;0.2958;0.4435;1.6021;0.0431;0.1667;0.5289;0.2124;0.475;0.0135;94.6874;133.1624;16957075000.0;1.7078;-3.125;4.5086;3.0294;-0.0165;0.3237;31.9095;1.5736;3.5164;27.0755;1.4872;3.4044
['RADL3'];['Raia Drogasil S.A.'];Brazil;Pharmaceutical Retailers;Healthcare;0.31;1.56;1.07;13.582;0;0.0;3140395000.0;0.0652;0.0942;0.0;2228430000.0;0.2;0.1027;0.0;1197694000.0;0.173;0.1117;0;2367171000.0;0.2058;0.1274;0.0;11549715000.0;0.1709;0.0381;38864455000.0;0.1725;0.025;0.2972;-0.0016;0.0116;0.0808;-0.0895;0.0975;0.0573;0.0223;0.069;0.0308;-0.0012;0.0789;0.0541;0.0251;0.0957;0.0829;0.0238;0.0972;1.5327;-0.0015;0.0039;0.228;0.1436;0.1551;0.1934;0.2002;0.9109;7167213000.0;2.2823;0.0831;0.127;6.722;-0.1106;0.1204;19.9396;0.8339;1.6164;6.7434;0.898;1.7621
['RAIZ4'];['Raízen S.A.'];Brazil;Utilities - Renewable;Utilities;0.18;9.97;0.298;5.617;0;0.0;16156596000.0;1.1876;1.4727;0.0;6951361000.0;0.766;0.974;0.0;520715000.0;0.3829;1.2775;0;7909021000.0;0.9569;1.1641;0.0;15723597000.0;0.6786;0.7316;220454239000.0;0.4404;0.5189;0.0713;0.1424;0.1021;0.0733;0.3752;0.4402;0.0315;0.1596;0.2301;0.0024;-0.2237;0.523;0.0041;-0.3749;0.3319;0.0064;-0.3292;0.3718;1.5821;0.056;0.0372;0.4394;0.1102;0.1044;0.1743;0.5366;0.5744;32344851000.0;2.002;0.0207;0.0216;3.6007;-0.04;0.1014;9.1033;-0.2749;0.2826;6.5462;-0.2619;0.2948
['RDOR3'];"[""Rede D'Or São Luiz S.A.""]";Brazil;Medical Care Facilities;Healthcare;0.72;2.31;1.539;8.958;0;0.0;10637629000.0;0.2765;0.0661;0.0;9004093000.0;0.3242;0.0915;0.0;3846945000.0;0.4505;0.4946;0;7230030000.0;0.2768;0.166;0.0;9462552000.0;0.2623;0.153;50571261000.0;0.4128;0.4319;0.1871;-0.0575;0.1759;0.2103;-0.0271;0.2348;0.178;0.0057;0.2364;0.0761;0.0835;0.4649;0.0375;0.2508;0.5625;0.064;0.2026;0.6233;1.7064;-0.1003;0.1373;0.6465;-0.168;0.2325;0.1007;0.479;0.8917;35902321000.0;3.375;-0.1659;0.1001;2.6395;0.1343;0.189;13.1185;0.0923;0.5221;12.8853;0.0968;0.5225
